administrar	administrador
ajudar	ajudante
amar	amante
assassinar	assassino
assistir	assistente
cantar	cantador/cantor
causar	causador
conduzir	condutor
consumir	consumidor
cozinhar	cozinheiro
dirigir	diretor
eleger	eleitor
escrever	escritor
examinar	examinador
falar	falante
governar	governador
guerrear	guerreiro
habitar	habitante
inspecionar	inspetor
instruir	instrutor
jogar	jogador
liderar	líder
matar	matador
minerar	mineiro
morar	morador
observar	observador
opor	opositor
pesquisar	pesquisador
pintar	pintor
sobreviver	sobrevivente
trabalhar	trabalhador
treinar	treinador
usar	usuário
vender	vendedor
