abastecer	abastecimento
aceitar	aceitação
acrescentar	acréscimo
adotar	adopção/adoção
afetar	efeito
afirmar	afirmação
ajudar	ajuda
alterar	alteração
amar	amante
anunciar	anúncio
apostar	aposta
apresentar	apresentação
assassinar	assassínio/assassinato
assistir	assistência
atacar	ataque
aumentar	aumento
auxiliar	auxílio
avaliar	avaliação
avariar	avaria
batalhar	batalha
cair	queda
calcular	cálculo
castigar	castigo
celebrar	celebração
chover	chuva
colocar	colocação
combater	combate
começar	começo
compensar	compensação
competir	competição
compor	composição
conceber	concepção
confessar	confissão
constituir	constituição
consultar	consulta
convalescer	convalescência
conversar	conversação/conversa
convidar	convite
corrigir	correção
crescer	crescimento
criar	criação
danificar	dano
declarar	declaração
dedicar	dedicação
demonstrar	demonstração
destruir	destruição
diminuir	diminuição
divertir	diversão/divertimento
dividir	divisão
eleger	eleição
elevar	elevador
elogiar	elogio
emprestar	empréstimo
encontrar	encontro
ensaiar	ensaio
ensinar	ensinamento/ensino
entreter	entretenimento
escapar	escapada
especular	especulação
evoluir	evolução
executar	execução
exercitar	exercício
expedir	expedição
experimentar	experiência
explicar	explicação
finalizar	fim
formar	formação
fornecer	fornecimento
fugir	fuga
iniciar	início
inscrever	inscrição
instruir	instrução
insultar	insulto
interagir	interação
inundar	inundação
investigar	investigação
julgar	julgamento
louvar	louvor
lutar	luta
marchar	marcha
mentir	mentira
misturar	mistura
modificar	modificação
morrer	morte
mudar	mudança
ocupar	ocupação
oferecer	oferecimento
olhar	olhadela
operar	operação
pagar	pagamento
partir	partida
penalizar	penalização
possuir	possessão
pressupor	pressuposto
progredir	progresso
prometer	promessa
propor	proposição/proposta
proteger	protecção/proteção
protestar	protesto
provar	prova
publicar	publicação
punir	punição
questionar	questão
realizar	realização
recuperar	recuperação
reduzir	redução
registrar	registro
rejeitar	rejeição
relatar	relato/relatório
responder	resposta
resultar	resultado
retificar	retificação
reverter	reversão
rodar	rotação
separar	separação
socorrer	socorro
sugerir	sugestão
supor	suposição
surpreender	surpresa
telefonar	telefonema
tentar	tentativa
trabalhar	trabalho
transferir	transferência
transportar	transporte
treinar	treino
trocar	troca
variar	variação
votar	votação/voto
