adicionar	adição
ameaçar	ameaça
anunciar	anúncio
aquecer	aquecimento
aumentar	aumento
aventurar	aventura
beneficiar	benefício
citar	citação
confirmar	confirmação
decorar	decoração
decretar	decreto
delimitar	delimitação
documentar	documentação/documento
entrar	entrada
filmar	filme
garantir	garantia
governar	governo
hesitar	hesitação
identificar	identificação
imaginar	imaginação
incentivar	incentivo
indicar	indicação
influenciar	influência
influir	influência
injuriar	injúria
insultar	insulto
justificar	justificativa/justificação
ligar	ligação
limitar	limitação
manobrar	manobra
manter	manutenção
medicar	medicamento
mencionar	menção
mentir	mentira
motivar	motivação/motivo
ofender	ofensa
ornar	ornamento
praticar	prática
preocupar	preocupação
preparar	preparação
proibir	proibição
proteger	protecção
recomendar	recomendação
renunciar	renúncia
responder	resposta
restringir	restrição
rever	revisão
saudar	saudação
significar	significação/significado
supor	suposição
ver	visão
verificar	verificação
