abastecer	abastecimento
acrescentar	acréscimo
adicionar	adição
adotar	adoção
afetar	efeito
ajudar	ajuda
alterar	alteração
anunciar	anúncio
aplicar	aplicação
apostar	aposta
apresentar	apresentação
aprovar	aprovação
assaltar	assalto
assistir	assistência
atrasar	atraso
aumentar	aumento
auxiliar	auxílio
avaliar	avaliação
bradar	brado
cair	queda
castigar	castigo
celebrar	celebração
citar	citação
colocar	colocação
comentar	comentário
começar	começo
compensar	compensação
competir	competição
comprometer	compromisso
conceber	concepção
condenar	condenação
confirmar	confirmação
confortar	conforto
considerar	consideração
consolar	consolação/consolo
convalescer	convalescência
convidar	convite
cooperar	cooperação
corresponder	correspondência
crescer	crescimento
criar	criação
danificar	dano
debater	debate
decrescer	decréscimo
dedicar	dedicação
demonstrar	demonstração
desdenhar	desdém
desprezar	desprezo
destruir	destruição
diminuir	diminuição
discriminar	discriminação
disputar	disputa
distorcer	distorção
divorciar	divórcio
doar	doação
eleger	eleição
elevar	elevador
empatar	empate
emprestar	empréstimo
ensinar	ensinamento/ensino
escandalizar	escândalo
escapar	escapada
estuprar	estupro
executar	execução
experimentar	experimento/experiência
explicar	explicação
fabricar	fabricação
finalizar	fim
formar	formação
fornecer	fornecimento
fugir	fuga
infectar	infecção
iniciar	início
inscrever	inscrição
instruir	instrução
interrogar	interrogação
interromper	interrupção
inundar	inundação
jogar	jogo
julgar	juiz
legislar	legislação
lutar	luta
marchar	marcha
mentir	mentira
misturar	mistura
modificar	modificação
morrer	morte
mudar	mudança
nomear	nomeação
olhar	olhadela
pagar	pagamento
partir	partida
penalizar	penalização
perguntar	pergunta
pressupor	pressuposto
propor	proposição/proposta
proteger	protecção/proteção
provar	prova
publicar	publicação
punir	punição
questionar	questão
realizar	realização
recuperar	recuperação
reduzir	redução
registrar	registro
regressar	regresso
rejeitar	rejeição
remunerar	remuneração
resignar	resignação
responder	resposta
retornar	retorno
separar	separação
socorrer	socorro
sorrir	sorriso
sugerir	sugestão
supor	suposição
telefonar	telefonema
tentar	tentativa
trabalhar	trabalho
transportar	transporte
treinar	treino
trocar	troca
utilizar	utilização
variar	variação
votar	votação/voto
