acumular	acúmulo
anotar	anotação
anunciar	anúncio
cheirar	cheiro
civilizar	civilização
comentar	comentário
concentrar	concentração
confundir	confusão
conspirar	conspiração
copiar	cópia
curvar	curva
custar	custo
declarar	declaração
definir	definição
delegar	delegação
descobrir	descoberta
editar	edição
equilibrar	equilíbrio
esculpir	escultura
experienciar	experiência
experimentar	experiência
filmar	filme
formatar	formatação
influenciar	influência
influir	influência
inovar	inovação
instalar	instalação
instruir	instrução
julgar	julgamento
organizar	organização
orçar	orçamento
picar	picada
planejar	plano
programar	programação/programa
publicar	publicação
questionar	questão
refinar	refinamento
registrar	registro
responder	resposta
suar	suor
transferir	transferência
transpirar	transpiração
variar	variante
