abreviar	abreviação/abreviatura
aceitar	aceitação
aliviar	alívio
anotar	anotação
anunciar	anúncio
cheirar	cheiro
classificar	classificação
contar	conta
copiar	cópia
custar	custo
decidir	decisão
declarar	declaração
descobrir	descoberta
determinar	determinação
editar	edição
educar	educação
elevar	elevação
equilibrar	equilíbrio
experimentar	experiência
falsificar	falsificação
filmar	filme
influenciar	influência
influir	influência
instruir	instrução
limitar	limitação
morder	mordedura/mordida
mudar	mudança
observar	observação
ordenar	ordem
organizar	organização
perfurar	perfuração
planejar	plano
presumir	presunção
publicar	publicação
questionar	questão
realizar	realização
refinar	refinamento
registrar	registro
resolver	resolução
responder	resposta
resumir	resumo
tentar	tentativa
transferir	transferência
variar	variante
visualizar	visualização
