aba	acostamento/berma
abaixo-assinado	aplicacao/cobrança/apelação/arrecadação/candidatura/demanda/solicitação/apelo/recurso
abalo	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria
abertura	pupila/escapatória/racha/saída/fresta/janela/porta/buraco
abjuração	retirada
abominação	revulsão/repulsa/aversão
abono	dividendo
abordagens	boca/entrada
abortamento	aborto
abortação	aborto
abrigo	morada/seguros/apartamento/aposento/moradia/domicílio/residência/habitação/lar/seguro/casa
abstinência	inibição
abstração	mensagem/comunicação
acadêmico	alumnus/catedrático/dr./filósofo/historiador/historiografo/ph.d./cronista/dr./graduado/doutor/professor
aceitação	agradecimento/reconhecimento
acendedor	fósforo
aceno	numeral/vareta/símbolo/selo/número
acesso	boca/entrada
acessório	cinto
acidente	coincidência
aconselhamento	indicação
acontecimento	cerimónia/revés/alteração/incidente/ocorrência/quebra/acção/cerimônia/chegada/feito/instância/maravilha/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/ato/conclusão/exemplo/resultado/ação/fim/festa/final/problema/mudança
acordo	apólice/aluguel/parceria/concessão/consenso/pacto/sociedade
acrescentamento	aumento
acréscimo	acumulação
acta	interdição/proibição
activos	fundos/investimento/capital/crédito
actualidade	momento
acumulação	existências/acúmulo
acção	critica/trâmite/agressão/interação/parto/conduta/desempenho/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/curso/caminho
acúmulo	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo
adendo	apêndice
adiamento	extensão
adição	anexo/asa
adjudicator	magistrado/jurista/juiz
administrador	gestor/director/dirigente/diretor/gerente
administração	finança/legislação/tratamento
admissão	confissão
adoração	carola
adorno	laço/ornamento
adoçante	mel/açúcar
adsorção	absorção
adulto	anfitrião/hospedeiro/partido/profissional/mulher/homem
adversário	inimigo
advogado	porta-voz/representante
aerofólio	ala/asa
aeronauta	piloto
aeroplano	bombardeiro
aeroporto	aeródromo
aerossol	emanações/fumo/vapores/nevoeiro/bruma/névoa/neblina
aerossóis	emanações/fumo/vapores/nevoeiro/bruma/névoa/neblina
aeródromo	aeroporto
afecção	apego/afeição
afeição	predileção/apego/admiração/preferência/tendência
afetividade	apego/afeição
afeto	apego/afeição
afiguração	cenografia/foto/mapa/retrato/cópia/reprodução/fotografia/esquema/imagem/figura/ilustração/modelo/desenho
afirmação	anunciação/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/promessa/proposição/asserção/estimativa/orçamento/compromisso/explicação/fórmula/termo/declaração/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação
aflição	tribulação
agenda	horário
agente	detective/entorpecente/droga/detetive/medicamento/policial/tira/remédio/substituto/representante
aglomeração	biota/exposições/galáxia/suma/transito/tránsito/trânsito/aglomerado/bando/embalagem/embrulho/flora/guarda-roupa/nebulosa/torrão/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/punhado/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/pedaço/bola/jogo/grupo
agressividade	ousadia/audácia
agressão	violência/força
agrupação	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo
ajuda	auxilio/consolação/consolo/apoio/mão/conforto/suporte/bolsa/serviço
ajudante	aeromoço/tafeiro/manequim/secretário/secretária/modelo
alarme	buzina
alavanca	manche
alcance	comprimento/escopo/longitude/espectro/órbita/área/extensão
alfaia	aparelhador/cómoda/gaveteiro/candeeiro/cômoda/luminária/assento/estante/mesa/armário/cadeira
algarismo	zero/número
alguém	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante
aliança	concessão
alimentação	repasto/refeição/vitamina/prato
alimento	farinhas/repasto/seiva/cardápio/ovo/refeição/suco/sumo/vitamina/menu/cereal/bebida/farinha/prato
alma	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/psiquê/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/assombração/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/aparição/conhecido/defensor/espectro/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/fantasma/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante
almirante	general
almofada	coxim/travesseiro/descanso
alocação	quota/cota/atribuição
alojamento	morada/apartamento/aposento/moradia/domicílio/residência/abrigo/habitação/lar/casa
alteração	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/variação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança
alternativa	cabimento/default/possibilidade/padrão
altitude	altura
altura	altitude
aluno	ouvinte
alvo	finalidade/intento/propósito/objectivo/objetivo/fim/intenção
amabilidade	favor/gentileza/consideração
amado	namorada/menina/querido/amante/garota/rapariga/mulher/amor/bem
amante	namorada/menina/querido/garota/rapariga/mulher/amor/bem
amargura	ressentimento
ambientalista	verde
ambiente	habitat/quadra/contexto/jazida/quarteirão/âmbito/arena/circunstância/cenário/bloco/esfera/domínio
ambiência	trevas/atmosfera/cheiro/tom/cara
amiga	camarada/companheiro/irmão/amigo
amigo	ficante/camarada/companheiro/acompanhante/irmão/conexão
amizade	companherismo/camarada/companheiro/irmão/amigo/fé/conexão
amor	apego/afeição
amplidão	anchura/largura
anatomia	abdome/abdômen/articulações/bumbum/popô/torso/bunda/estômago/nádegas/ombro/quadril/seio/ventre/abdómen/ânus/peito/traço/anca/articulação/tecido/tronco/órgão/barriga/rabo/corpo/traseiro
anca	regaço/colo/joelho
andar	cave/mansarda/porão/trapeira/sótão/ático
anfibios	batraquio/rã/sapo
anfíbio	batraquio/rã/sapo
anfíbios	batraquio/rã/sapo
angiosperma	flor
angiospérmica	flor
angústia	tormento/tortura/martírio/agonia/dor
animal	cria/embriões/predadores/embrião/prole/filhote/presa
animação	sobrevivência
aniversário	aniversario
anotação	apontamento/menção/citação/referência/nota
anseio	capricho/desfastio/gana/comichão/impertinência/ambição/apetite/caprichoso/pretensão/aspiração/fantasia/desejo
ansiedade	temor/medo/preocupação
antagonista	inimigo
antecipação	previsão
antenome	assinatura/visto/título
anticoncepcional	pílula
anúncio	filipeta/reclame/notificação/panfleto/reclamo/propaganda/comunicação/publicidade/aviso/nota/programa
aparato	acendedor/arapuca/encosto/engenhoca/filtros/gadget/reactor/reactores/sensor/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede
aparelho	acendedor/arapuca/chibata/encosto/engenhoca/filtros/gadget/reactor/reactores/sensor/apetrecho/armadilha/açoite/chicote/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/armamento/arma/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede
apartamento	dormitório/suíte
aparência	aspecto/ilusão/efeito/cor/rosto/impressão
apatia	desapego/afastamento
apego	afeição
apelo	aplicacao/cobrança/cortejamento/facturação/faturação/galanteio/invitação/namoro/apelação/arrecadação/candidatura/convite/demanda/solicitação/conta/recurso/ordem
aperto	misterio/mistério/dilema
apetite	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia/desejo
apetrecho	equipamento/ferramenta
aplauso	loa/louvor/consenso/consentimento/glória/tributo/autorização/elogio/reconhecimento/sanção/crédito/aprovação
apoio	aprovaçã0/degrau/pedestal/prateleira/estante/suporte/barra/aprovação/pé/base
apontamento	menção/citação/referência
aposento	antecâmara/antessala/compartimento/estudio/vivenda/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/escritório/habitação/cozinha/galeria/quarto/banheiro/sala/casa/classe
apostila	introdução
apresentação	quermesse/carnaval/exibição/magia/desempenho/performance/ilusão/truque/feira/exposição/interpretação/produção
aprisionamento	custódia
aprovaçã0	adopção/adoção/aceitação
aprovação	laissez-passer/loa/louvor/passe/adopção/adoção/concessão/consenso/consentimento/glória/tributo/autorização/elogio/reconhecimento/sanção/aceitação/crédito
aptidão	instinto
aquisição	compras/dádiva/brinde/dom/restituição/procura/doação/retorno/presente
ar	trevas/céu/atmosfera/cheiro/tom/cara
aracnideos	aranha
aracnídeo	aranha
aracnídeos	aranha
arapuca	armadilha
arbusto	rosa/rosas/rosa
arcano	contra-senha/password/senha
arco	arco-íris/pneu
ardor	fervor/zelo
aresta	rebordo
argumentação	raciocínio
argumento	demonstração/evidência/prova/ação
aria	tema
aristocrata	princesa/príncipe/princesa/príncipe
arma	gládio/projéctil/revóvel/míssil/projétil/revólver/bomba/espada/arco
armamento	gládio/projéctil/revóvel/míssil/projétil/revólver/bomba/espada/arma/arco
aromatizante	sal/alho/erva
arquitectura	infraestructura/infraestrutura/infra-estrutura
array	matrizes/tabela/matriz/coluna/bicha
arte	mosaico
