acumular	acúmulo
adquirir	aquisição
amar	amante
apostar	aposta
atrair	atração
beber	bebida
bombear	bomba
cheirar	cheiro
citar	citação
cobrir	cobertura
compensar	compensação
comprar	compra
condenar	condenado
convidar	convidado
desculpar	desculpa
desejar	desejo
desenhar	desenho
embrulhar	embrulhador
empregar	empregado
escolher	escolha
exibir	exibição
expor	exposição
exportar	exportação
importar	importação
ler	leitura
mencionar	menção
multiplicar	multiplicador
necessitar	necessidade
pagar	pagamento
remunerar	remuneração
significar	significação/significado
subir	subida
substituir	substituto
