abadia	monastério/mosteiro/convento
abaixo-assinado	mensagem/tópico/assunto/conteúdo
abalo	emoção/sentimento/impressão
abastecimento	atividade/ocupação
abatimento	alteração/modificação/redução/variação/diminuição/mudança
abdome	anatomia
abdómen	anatomia
abdômen	anatomia
abelha	himenópteros
abertura	impressão
aboboreira	verdura/hortaliça/legume/vegetal
abominação	nojo/asco/repugnância/náusea/repulsa/aversão
abortamento	termino/terminação/conclusão
abortação	termino/terminação/conclusão
aborto	abortação/abortamento/termino/terminação/conclusão
abrigo	alojamento/edifício/tecido/estrutura/casa/segurança
absorção	sorção/adsorção
abuso	desrespeito/maltrato
abóbora	verdura/hortaliça/legume/vegetal
academia	estabelecimento
acadêmico	intelecto/intelectual
acampamento	locação/sítio/lugar
accionista	investidor
aceitação	aprovaçã0/aprovação
acelerador	pedal
acendedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aceno	sinal
acento	importância
acepção	significância/significação/significado/intenção
acesso	direito
achado	epifania/insight/lampejo
acidente	ocorrente/ocorrência/acontecimento/azar
acionista	investidor
acompanhante	camarada/companheiro/amigo/colega
aconselhamento	mensagem/tópico/assunto/conteúdo
acorde	tom/nota
acordes	tom/nota
acordo	consenso/concórdia/harmonia/paz/conformidade
acostamento	aba/borda/fronteira/limite
acrescentamento	quantidade/número
acréscimo	incremento/crescimento/aumento
acta	ato
actor	intérprete
actualidade	tempo
acumulação	incremento/acréscimo/crescimento/aumento
acusado	litigante
acusação	asserção
acção	acontecimento/evento/fato
acúmulo	colecção/coleção/aglomeração/agrupação/acumulação/conjunto/grupo
adiar	ociosidade
adição	componente/parte
administrador	líder/gerente/cabeça/chefe/liderança/responsável
admiração	gosto/afeição
admissão	reconhecimento
admitância	direito
adolescente	juvenil/menor/jovem
adopção	aprovaçã0/aprovação
adorno	artefato
adoçante	tentação
adoção	aprovaçã0/aprovação
adulto	alguém/indivíduo/alma/pessoa
adversidade	infortúnio/azar
adversário	alguém/indivíduo/alma/pessoa
advogado	alguém/indivíduo/alma/pessoa/profissional
aeromoço	ajudante/assistente/empregado
aeronave	navio
aeroplano	navio
aeroporto	aeródromo
aeródromo	aeroporto
afastamento	indiferença/apatia
afeição	afecção/afetividade/camaradagem/objecto/carinho/afeto/apego/simpatia/objeto/compaixão/objetivo/piedade/amor
aficionado	alguém/indivíduo/alma/pessoa
afiliação	relação/ligação
afinidade	atratividade/atração/conexão/relação
afirmação	asserção
agasalho	vestuário/roupa
agencia	empresa
agenda	listagem/lista
agente	representante
aglomerado	aglomeração
aglomeração	agrupação/conjunto/grupo
